store,item,action,urgency,reason,days_of_stock_left,reorder_qty,current_stock,avg_daily_predicted_demand
5,40,Reorder now,Low,"With 6.7 days of stock left, there is a risk of stocking out, so reorder 58 units immediately.",6.7,58,115,17.2
2,49,Reorder now,Low,"Inventory is projected to last 6.7 days, which creates a stockout risk, so a reorder of 107 units is needed.",6.7,107,213,31.7
7,37,Reorder now,Low,"Current stock will last only 6.7 days, posing a stockout risk, so 52 units should be reordered now.",6.7,52,109,16.2
8,14,Reorder now,Low,"Stock will run out in 6.8 days, creating a stockout risk, so 189 units should be reordered.",6.8,189,394,58.1
1,9,Reorder now,Low,"Current stock of 261 units will last 6.8 days, so reorder 120 units now to maintain stock.",6.8,120,261,38.1
3,9,Reorder now,Low,"Only 6.8 days of stock remain, leading to a stockout risk, so a reorder quantity of 161 units is required.",6.8,161,328,48.5
6,8,Reorder now,Low,"There are 6.8 days of stock left, presenting a stockout risk, so a reorder of 162 units is recommended.",6.8,162,330,48.6
3,29,Reorder now,Low,"Current stock of 448 units will last 6.8 days, so reorder 216 units now to avoid a stockout.",6.8,216,448,65.8
4,3,Reorder now,Low,"Current stock of 238 units will last 6.8 days, requiring a reorder of 113 units now to prevent a stockout.",6.8,113,238,34.9
4,38,Reorder now,Low,"Current stock of 464 units will last 6.9 days, so reorder 222 units now to avoid a stockout.",6.9,222,464,67.6
9,37,Reorder now,Low,"Current stock of 185 units will last 6.9 days, so reorder 86 units now to avoid running out.",6.9,86,185,26.7
7,41,Reorder now,Low,"Current stock of 85 units will last 6.9 days, so reorder 39 units now to prevent a stockout.",6.9,39,85,12.3
9,13,Reorder now,Low,"Current stock of 484 units will last 6.9 days, so place a reorder of 224 units now.",6.9,224,484,70.5
2,48,Reorder now,Low,"Current stock of 354 units will last 6.9 days, requiring a reorder of 163 units now.",6.9,163,354,51.6
2,36,Reorder now,Low,"Current stock of 535 units will last 6.9 days, so reorder 258 units now to prevent running out.",6.9,258,535,78.1
8,39,Reorder now,Low,"Current stock of 321 units will last 7.0 days, so reorder 144 units now to prevent a stockout.",7.0,144,321,46.0
4,11,Reorder now,Low,"Current stock of 441 units will last 7.0 days, requiring a reorder of 202 units now.",7.0,202,441,63.3
